Date,Temperature,NOx,Wind Direction,Wind Speed,PM2.5
1/21/19 20:00,15.6,18.2,22,3.3,30
1/21/19 21:00,15.7,19.3,6,2.9,26
1/21/19 22:00,15.7,15.8,12,4.5,30
1/21/19 23:00,15.5,13.3,12,3.2,24
1/22/19 0:00,15.4,13.9,359,3,16
1/22/19 1:00,15.6,10.5,7,4.1,19
1/22/19 2:00,15.6,10,15,3.7,25
1/22/19 3:00,15.5,11.3,16,2.7,28
1/22/19 4:00,15.4,8.8,9,2.1,22
1/22/19 5:00,15.2,9.9,3,2.7,24
1/22/19 6:00,14.9,10.7,357,3.2,32
1/22/19 7:00,15,14.4,11,3.2,30
1/22/19 8:00,16,19.8,10,3.6,28
1/22/19 9:00,17.3,18.7,360,3.5,17
1/22/19 10:00,18.3,15.2,13,3.8,22
1/22/19 11:00,18.4,17.8,360,4.5,16
1/22/19 12:00,18.6,16.7,360,4.4,15
1/22/19 13:00,19.3,14.6,5,4.1,32
1/22/19 14:00,19.8,13.9,9,4.5,32
1/22/19 15:00,19.1,14.4,16,4.2,40
1/22/19 16:00,18.4,19.8,19,4,39
1/22/19 17:00,17.2,23.8,5,3.2,42
1/22/19 18:00,16.2,24.6,6,3.7,44
1/22/19 19:00,15.4,22.4,1,3.4,42
1/22/19 20:00,14.9,23.1,11,4.1,40
1/22/19 21:00,14.3,29.8,8,3.7,40
1/22/19 22:00,13.9,23.6,8,3.4,44
1/22/19 23:00,13.6,19.6,3,3,46
1/23/19 0:00,13.5,18.2,13,2.9,44
1/23/19 1:00,13.3,15.2,12,3.1,43
1/23/19 2:00,13,17.7,26,2.3,45
1/23/19 3:00,12.6,21.4,17,2.6,44
1/23/19 4:00,12.3,16.5,14,2.8,47
1/23/19 5:00,12.1,15.3,28,2.8,41
1/23/19 6:00,12,20.7,26,2.2,35
1/23/19 7:00,12.6,27.1,12,2.5,34
1/23/19 8:00,14,36.3,17,2.3,39
1/23/19 9:00,16.1,32.5,16,2.4,48
1/23/19 10:00,18.4,20.7,355,2.8,44
